pubname,schemaname,tablename
supabase_realtime,public,bookings
supabase_realtime,public,conversation_members
supabase_realtime,public,customers
supabase_realtime,public,damage_claims
supabase_realtime,public,entity_comments
supabase_realtime,public,maintenance_windows
supabase_realtime,public,message_read_receipts
supabase_realtime,public,notifications
supabase_realtime,public,payments
supabase_realtime,public,pinned_messages
supabase_realtime,public,rari_insights
supabase_realtime,public,team_conversations
supabase_realtime,public,team_messages
supabase_realtime,public,user_activity_log
supabase_realtime,public,user_presence
supabase_realtime,public,vehicle_inspections
supabase_realtime,public,vehicle_tasks
supabase_realtime,public,vehicles
supabase_realtime,public,work_orders
