event_object_schema,event_object_table,trigger_name,event_manipulation,action_timing
public,bookings,on_booking_status_change_notify,UPDATE,AFTER
public,bookings,on_new_booking_notify,INSERT,AFTER
public,bookings,set_booking_ref,INSERT,BEFORE
public,bookings,trg_generate_partner_payout,UPDATE,AFTER
public,bookings,trg_snapshot_platform_fee,UPDATE,BEFORE
public,bookings,trg_snapshot_platform_fee,INSERT,BEFORE
public,bookings,trg_void_partner_payout,UPDATE,AFTER
public,bookings,update_bookings_updated_at,UPDATE,BEFORE
public,bookings,update_customer_stats_on_booking,INSERT,AFTER
public,bookings,update_customer_stats_on_booking,UPDATE,AFTER
public,damage_claims,on_new_damage_claim_notify,INSERT,AFTER
public,damage_claims,trg_log_damage_expense,UPDATE,AFTER
public,damage_claims,trg_log_damage_expense,INSERT,AFTER
public,documents,set_doc_ref,INSERT,BEFORE
public,documents,trg_log_insurance_expense,UPDATE,AFTER
public,documents,trg_log_insurance_expense,INSERT,AFTER
public,documents,update_documents_updated_at,UPDATE,BEFORE
public,entity_comments,update_entity_comments_updated_at,UPDATE,BEFORE
public,integration_configs,update_integration_configs_updated_at,UPDATE,BEFORE
public,locations,update_locations_updated_at,UPDATE,BEFORE
public,maintenance_schedules,trg_log_maintenance_expense,UPDATE,AFTER
public,maintenance_schedules,update_maintenance_schedules_updated_at,UPDATE,BEFORE
public,maintenance_windows,update_maintenance_windows_updated_at,UPDATE,BEFORE
public,notification_preferences,update_notification_preferences_updated_at,UPDATE,BEFORE
public,onboarding_progress,update_onboarding_progress_activity,UPDATE,BEFORE
public,onboarding_responses,update_onboarding_responses_updated_at,UPDATE,BEFORE
public,partner_payouts,trg_partner_payouts_updated_at,UPDATE,BEFORE
public,payments,on_new_payment_notify,INSERT,AFTER
public,payouts,update_payouts_updated_at,UPDATE,BEFORE
public,profiles,on_profile_created_assign_role,INSERT,AFTER
public,profiles,on_profile_created_create_team,INSERT,AFTER
public,profiles,update_profiles_updated_at,UPDATE,BEFORE
public,rari_insights,update_rari_insights_updated_at,UPDATE,BEFORE
public,recurring_expense_templates,update_recurring_templates_updated_at,UPDATE,BEFORE
public,team_conversations,update_team_conversations_updated_at,UPDATE,BEFORE
public,team_integrations,update_team_integrations_updated_at,UPDATE,BEFORE
public,team_messages,on_team_message_mentions,INSERT,AFTER
public,teams,update_teams_updated_at,UPDATE,BEFORE
public,user_dashboard_layouts,update_user_dashboard_layouts_updated_at,UPDATE,BEFORE
public,user_dashboard_preferences,update_user_dashboard_preferences_updated_at,UPDATE,BEFORE
public,user_invitations,check_invitation_expiry_trigger,UPDATE,BEFORE
public,user_roles,prevent_admin_demotion_trigger,UPDATE,BEFORE
public,user_roles,prevent_admin_demotion_trigger,DELETE,BEFORE
public,user_settings,update_user_settings_updated_at,UPDATE,BEFORE
public,vehicle_expenses,trg_vehicle_expenses_updated_at,UPDATE,BEFORE
public,vehicle_partners,trg_vehicle_partners_updated_at,UPDATE,BEFORE
public,vehicle_photos,ensure_single_hero,INSERT,BEFORE
public,vehicle_photos,ensure_single_hero,UPDATE,BEFORE
public,vehicle_photos,sync_hero_photo_to_vehicle,UPDATE,AFTER
public,vehicle_photos,sync_hero_photo_to_vehicle,INSERT,AFTER
public,vehicle_photos,vehicle_photos_updated_at,UPDATE,BEFORE
public,vehicle_tasks,update_vehicle_tasks_updated_at,UPDATE,BEFORE
public,vehicles,update_vehicles_updated_at,UPDATE,BEFORE
public,work_orders,trg_log_work_order_expense,INSERT,AFTER
public,work_orders,trg_log_work_order_expense,UPDATE,AFTER
public,work_orders,update_work_orders_updated_at,UPDATE,BEFORE
